date,attestation
2023-08-19,365318.0
2023-08-20,366335.0
2023-08-21,367348.0
2023-08-22,368771.0
2023-08-23,369770.0
2023-08-24,370649.0
2023-08-25,371643.0
2023-08-26,372423.0
2023-08-27,372945.0
2023-08-28,374856.0
2023-08-29,375360.0
2023-08-30,378166.0
2023-08-31,378813.0
2023-09-01,379939.0
2023-09-02,381094.0
2023-09-03,382463.0
2023-09-04,383416.0
2023-09-05,384326.0
2023-09-06,385575.0
2023-09-07,386338.0
2023-09-08,387435.0
2023-09-09,388107.0
2023-09-10,389261.0
2023-09-11,390413.0
2023-09-12,391449.0
2023-09-13,392477.0
2023-09-14,393545.0
2023-09-15,394788.0
2023-09-16,394688.0
