date,attestation
2022-12-20,2.047100950877635e-06
2022-12-21,2.0460973524703687e-06
2022-12-22,2.04482443813708e-06
2022-12-23,2.0441786790642234e-06
2022-12-24,2.042814879569039e-06
2022-12-25,2.0412813956618214e-06
2022-12-26,2.042943126281561e-06
2022-12-27,2.040787763089379e-06
2022-12-28,2.0363915312508496e-06
2022-12-29,2.0353915568831605e-06
2022-12-30,2.033347869832757e-06
2022-12-31,2.0320722522545378e-06
2023-01-01,2.0311631652587684e-06
2023-01-02,2.0301997618502694e-06
2023-01-03,2.029729942443214e-06
2023-01-04,2.027725696705693e-06
2023-01-05,2.027910708094904e-06
2023-01-06,2.02478161680864e-06
2023-01-07,2.0216466460314404e-06
2023-01-08,2.0202815521775347e-06
2023-01-09,2.0188403848447523e-06
2023-01-10,2.017650051817285e-06
2023-01-11,2.0159658128870475e-06
2023-01-12,2.013476959877855e-06
2023-01-13,2.0112691199749608e-06
2023-01-14,2.00973839476645e-06
2023-01-15,2.009463817060438e-06
2023-01-16,2.005236698787996e-06
2023-01-17,2.0025887088700792e-06
2023-01-18,2.002157084748715e-06
2023-01-19,2.0001057311451e-06
2023-01-20,1.9966926552917398e-06
2023-01-21,1.9948435348137654e-06
2023-01-22,1.993016838712476e-06
2023-01-23,1.9915017174258383e-06
2023-01-24,1.989047758761099e-06
2023-01-25,1.983076168347822e-06
2023-01-26,1.9791695604996416e-06
2023-01-27,1.9767822338342822e-06
2023-01-28,1.974728678748894e-06
2023-01-29,1.974059200353243e-06
2023-01-30,1.971418441392215e-06
2023-01-31,1.971797978086065e-06
2023-02-01,1.967499109651116e-06
2023-02-02,1.96760364222173e-06
2023-02-03,1.9634559880351315e-06
2023-02-04,1.9594316447810646e-06
2023-02-05,1.958642926852338e-06
2023-02-06,1.9555335416563758e-06
2023-02-07,1.953884221619304e-06
2023-02-08,1.9523892240746054e-06
2023-02-09,1.94966771478298e-06
2023-02-10,1.94882224079133e-06
2023-02-11,1.945750194284133e-06
2023-02-12,1.9445626330307336e-06
2023-02-13,1.9419448449781626e-06
2023-02-14,1.9419971298452104e-06
2023-02-15,1.9401923233679624e-06
2023-02-16,1.939195614467772e-06
2023-02-17,1.9381841700617617e-06
2023-02-18,1.931443026912597e-06
2023-02-19,1.9287372661844437e-06
2023-02-20,1.9233823270161267e-06
2023-02-21,1.9208037926964115e-06
2023-02-22,1.9158785192236665e-06
2023-02-23,1.911375916893725e-06
2023-02-24,1.908414477673398e-06
2023-02-25,1.9065399776880056e-06
2023-02-26,1.9020418638160437e-06
2023-02-27,1.8957168163725924e-06
2023-02-28,1.8892422968958917e-06
2023-03-01,1.8828698811481447e-06
2023-03-02,1.8768291593457684e-06
2023-03-03,1.871303179579764e-06
2023-03-04,1.8658011553451656e-06
2023-03-05,1.858309267647051e-06
2023-03-06,1.8519787909151428e-06
2023-03-07,1.8453051866242556e-06
2023-03-08,1.83937901177105e-06
2023-03-09,1.8352949039731916e-06
2023-03-10,1.8320169531841856e-06
2023-03-11,1.8301852944030349e-06
2023-03-12,1.8288781365270869e-06
2023-03-13,1.827404817202403e-06
2023-03-14,1.82729257840639e-06
2023-03-15,1.8261847258574184e-06
2023-03-16,1.8231998672396788e-06
2023-03-17,1.821214743775217e-06
2023-03-18,1.8190175938726191e-06
2023-03-19,1.8171363852601629e-06
2023-03-20,1.8151931806453765e-06
2023-03-21,1.8109413090144952e-06
2023-03-22,1.8100068854280436e-06
2023-03-23,1.8084338207872288e-06
2023-03-24,1.8053002035167664e-06
2023-03-25,1.8032908364809205e-06
2023-03-26,1.8027322449787548e-06
2023-03-27,1.801938767402052e-06
2023-03-28,1.801755953773968e-06
2023-03-29,1.8007269529875078e-06
2023-03-30,1.7960817269759578e-06
2023-03-31,1.79416631751249e-06
2023-04-01,1.7900948424660724e-06
2023-04-02,1.7891426720807554e-06
2023-04-03,1.786838952936332e-06
2023-04-04,1.7868737769827284e-06
2023-04-05,1.784387627361167e-06
2023-04-06,1.7847438477674427e-06
2023-04-07,1.7830432083301264e-06
2023-04-08,1.7809373518072957e-06
2023-04-09,1.781095918680838e-06
2023-04-10,1.784906277660807e-06
2023-04-11,1.7820614673794237e-06
2023-04-12,1.7823582906614874e-06
2023-04-13,1.7975722024188655e-06
2023-04-14,1.7935939844067423e-06
2023-04-15,1.7907138430336062e-06
2023-04-16,1.788863051495592e-06
2023-04-17,1.7865911472052926e-06
2023-04-18,1.7858297876683463e-06
2023-04-19,1.785974902021812e-06
2023-04-20,1.7851633620774554e-06
2023-04-21,1.7852900032717853e-06
2023-04-22,1.784499691527599e-06
2023-04-23,1.784706522266625e-06
2023-04-24,1.7839569030816589e-06
2023-04-25,1.7840270408265634e-06
2023-04-26,1.784610899030188e-06
2023-04-27,1.783829712942924e-06
2023-04-28,1.7833102219853285e-06
2023-04-29,1.7832144542627742e-06
2023-04-30,1.7833389114086866e-06
2023-05-01,1.7836428126067856e-06
2023-05-02,1.784070234432685e-06
2023-05-03,1.7833007691078473e-06
2023-05-04,1.7843686432116222e-06
2023-05-05,1.784115392318714e-06
2023-05-06,1.7844071408656684e-06
2023-05-07,1.784797668218415e-06
2023-05-08,1.7829617975094913e-06
2023-05-09,1.7797162163958029e-06
2023-05-10,1.7758077713252491e-06
2023-05-11,1.7720454285218856e-06
2023-05-12,1.772804438684221e-06
2023-05-13,1.7690856134722663e-06
2023-05-14,1.7633067464104618e-06
2023-05-15,1.7574124730093808e-06
2023-05-16,1.752838217575394e-06
2023-05-17,1.7456874968311871e-06
2023-05-18,1.7420702123174313e-06
2023-05-19,1.7395953765175437e-06
2023-05-20,1.7348785753583752e-06
2023-05-21,1.730016353693481e-06
2023-05-22,1.7257182781395238e-06
2023-05-23,1.7212609334586431e-06
2023-05-24,1.717581158503845e-06
2023-05-25,1.7130507193735451e-06
2023-05-26,1.706554194859664e-06
2023-05-27,1.702182057088486e-06
2023-05-28,1.697809207572109e-06
2023-05-29,1.6922040838149282e-06
2023-05-30,1.6894333718695629e-06
2023-05-31,1.6833999412103352e-06
2023-06-01,1.6794912501775944e-06
2023-06-02,1.6764618465094853e-06
2023-06-03,1.6713628908538324e-06
2023-06-04,1.6655015135677891e-06
2023-06-05,1.66045170081366e-06
2023-06-06,1.6554441138170322e-06
2023-06-07,1.654564086816056e-06
2023-06-08,1.6524167000140898e-06
2023-06-09,1.651321289344454e-06
2023-06-10,1.6449495914717026e-06
2023-06-11,1.6412034378306286e-06
2023-06-12,1.638616741015655e-06
2023-06-13,1.6352256846546805e-06
2023-06-14,1.6349828083692108e-06
2023-06-15,1.6323556975613424e-06
2023-06-16,1.6278248486387827e-06
2023-06-17,1.6231411131496831e-06
2023-06-18,1.6181877460161369e-06
2023-06-19,1.614557896028593e-06
2023-06-20,1.6110645642229955e-06
2023-06-21,1.6058758696579095e-06
2023-06-22,1.601694862906216e-06
2023-06-23,1.5977139712486865e-06
2023-06-24,1.5923261687944488e-06
2023-06-25,1.58741498637125e-06
2023-06-26,1.5829044423724371e-06
2023-06-27,1.5782689392598785e-06
2023-06-28,1.572945433566312e-06
2023-06-29,1.568622768353225e-06
2023-06-30,1.5643795085551854e-06
2023-07-01,1.5606483795076696e-06
2023-07-02,1.5550776501333403e-06
2023-07-03,1.5520727423723702e-06
2023-07-04,1.5467397310929197e-06
2023-07-05,1.5428591292560188e-06
2023-07-06,1.5396703578927594e-06
2023-07-07,1.5348653672453318e-06
2023-07-08,1.532086447153446e-06
2023-07-09,1.529912202437712e-06
2023-07-10,1.524544275373497e-06
2023-07-11,1.52073276042984e-06
2023-07-12,1.5156264157567927e-06
2023-07-13,1.5108099369463315e-06
2023-07-14,1.5065581566646858e-06
2023-07-15,1.5014743421558854e-06
2023-07-16,1.4964871433284085e-06
2023-07-17,1.4917889933333173e-06
2023-07-18,1.4873005807318705e-06
2023-07-19,1.48310409362868e-06
2023-07-20,1.4795321339386211e-06
2023-07-21,1.4752164655786042e-06
2023-07-22,1.4703118056454646e-06
2023-07-23,1.4667255353444812e-06
2023-07-24,1.4630712850420666e-06
2023-07-25,1.459628892524158e-06
2023-07-26,1.4533459045099191e-06
2023-07-27,1.449396190149218e-06
2023-07-28,1.44552519165828e-06
2023-07-29,1.4408969504047797e-06
2023-07-30,1.4370090961902209e-06
2023-07-31,1.4314987999862904e-06
2023-08-01,1.4277656596167365e-06
2023-08-02,1.4244150182327896e-06
2023-08-03,1.4212588096915571e-06
2023-08-04,1.4175601533344516e-06
2023-08-05,1.4137628647444756e-06
2023-08-06,1.4092351308645832e-06
2023-08-07,1.406190901600604e-06
2023-08-08,1.4014038062369036e-06
2023-08-09,1.3986068926652436e-06
2023-08-10,1.3950024837240588e-06
2023-08-11,1.389543571443669e-06
2023-08-12,1.3853628844712406e-06
2023-08-13,1.3806515158712538e-06
2023-08-14,1.3766548189818068e-06
2023-08-15,1.372791659426429e-06
2023-08-16,1.3692098675319332e-06
2023-08-17,1.365484354605649e-06
2023-08-18,1.3639936338615651e-06
2023-08-19,1.3587274474852696e-06
2023-08-20,1.3543204065958754e-06
2023-08-21,1.349993899825986e-06
2023-08-22,1.3465781246941712e-06
2023-08-23,1.3429946649574475e-06
2023-08-24,1.3393181729764518e-06
2023-08-25,1.335280119006879e-06
2023-08-26,1.3325738166456708e-06
2023-08-27,1.3304190035464002e-06
2023-08-28,1.3257395135674326e-06
2023-08-29,1.3212321019992662e-06
2023-08-30,1.314570503182012e-06
2023-08-31,1.3112545226140915e-06
2023-09-01,1.3074613372755282e-06
2023-09-02,1.3038228451722694e-06
2023-09-03,1.3000943553376068e-06
2023-09-04,1.2961380706255777e-06
2023-09-05,1.2922001422456971e-06
2023-09-06,1.2888187747253484e-06
2023-09-07,1.286020226258245e-06
2023-09-08,1.2821142804939103e-06
2023-09-09,1.279475355521657e-06
2023-09-10,1.276030520644087e-06
2023-09-11,1.2720014886646894e-06
2023-09-12,1.2688439270866657e-06
2023-09-13,1.2650213182150636e-06
2023-09-14,1.261765044003757e-06
2023-09-15,1.2574334776032558e-06
2023-09-16,1.257628424481076e-06
