date,attestation
2022-11-20,470013.25020629744
2022-11-21,470867.45395477576
2022-11-22,471921.3687641503
2022-11-23,472558.90331325406
2022-11-24,474447.17546125175
2022-11-25,476054.7973368688
2022-11-26,477608.3223913264
2022-11-27,477905.0141046096
2022-11-28,478189.0770466882
2022-11-29,478426.1102453683
2022-11-30,479069.9431584293
2022-12-01,480059.6469976026
2022-12-02,480870.0966801574
2022-12-03,481879.2834537431
2022-12-04,481968.3658371586
2022-12-05,482129.06589450425
2022-12-06,482810.59815914906
2022-12-07,477309.28351556975
2022-12-08,483313.9571418573
2022-12-09,484192.6226445581
2022-12-10,485152.54507288814
2022-12-11,485503.1892561946
2022-12-12,485676.4608320696
2022-12-13,485908.9649276653
2022-12-14,486047.018425634
2022-12-15,486231.2904579731
2022-12-16,486868.5955203535
2022-12-17,486946.5478900432
2022-12-18,487165.9837523197
2022-12-19,487991.2481729449
2022-12-20,488631.428747008
2022-12-21,488854.381724481
2022-12-22,489179.7477576097
2022-12-23,489343.63168162777
2022-12-24,489664.83991221455
2022-12-25,489984.9280469715
2022-12-26,489591.3030706804
2022-12-27,490180.7071504177
2022-12-28,491237.9617657788
2022-12-29,491456.4976752419
2022-12-30,492007.0503623461
2022-12-31,492297.0849459886
2023-01-01,492478.39528928825
2023-01-02,492690.892764226
2023-01-03,492789.7911184976
2023-01-04,493346.9046270424
2023-01-05,493428.5168020215
2023-01-06,494064.2298208879
2023-01-07,494803.343864828
2023-01-08,495132.12535652047
2023-01-09,495556.28756115946
2023-01-10,495859.32232426805
2023-01-11,496277.68934586336
2023-01-12,496933.9096681473
2023-01-13,497395.3960983527
2023-01-14,497823.9958561519
2023-01-15,497836.0812417863
2023-01-16,498885.3646401367
2023-01-17,499475.6176477037
2023-01-18,499647.006578059
2023-01-19,500152.414596478
2023-01-20,501025.2179133858
2023-01-21,501430.3263245107
2023-01-22,501875.8874103625
2023-01-23,502258.9203482413
2023-01-24,502966.36794418783
2023-01-25,504482.1393541076
2023-01-26,505469.0078042788
2023-01-27,506042.04977512977
2023-01-28,506530.3823053949
2023-01-29,506752.0158714693
2023-01-30,507394.71123222914
2023-01-31,507299.9615990967
2023-02-01,508473.0487398927
2023-02-02,508407.61698149657
2023-02-03,509553.7337235585
2023-02-04,510495.7682039752
2023-02-05,510698.2523107576
2023-02-06,511545.81979688833
2023-02-07,511932.4988372038
2023-02-08,512330.63658003067
2023-02-09,513063.6891207573
2023-02-10,513358.1600110249
2023-02-11,514112.3798761272
2023-02-12,514495.0302873423
2023-02-13,515086.4859913703
2023-02-14,515133.5017497125
2023-02-15,515581.23155418434
2023-02-16,515852.2021858411
2023-02-17,516653.0612125929
2023-02-18,517911.9742135243
2023-02-19,518784.488841406
2023-02-20,520130.8526155352
2023-02-21,520926.37695196376
2023-02-22,522187.9001508913
2023-02-23,523437.21981800033
2023-02-24,524190.0659983706
2023-02-25,524664.3091848016
2023-02-26,526038.1937909015
2023-02-27,527783.7874733419
2023-02-28,529616.2690989148
2023-03-01,531385.5776171522
2023-03-02,533129.2187394671
2023-03-03,534741.9946080045
2023-03-04,536296.8835914307
2023-03-05,538461.4272575562
2023-03-06,540291.0522952062
2023-03-07,542276.9620541866
2023-03-08,544062.9970475815
2023-03-09,545095.4541417599
2023-03-10,546192.4136731559
2023-03-11,546645.1982124054
2023-03-12,547104.9650583987
2023-03-13,547525.03030369
2023-03-14,547484.2810533246
2023-03-15,547796.31089176
2023-03-16,548723.4948617872
2023-03-17,549329.850830566
2023-03-18,549952.0270038078
2023-03-19,550489.1324482014
2023-03-20,551138.7353080893
2023-03-21,552383.0704647405
2023-03-22,552668.6605615589
2023-03-23,553206.2267707995
2023-03-24,554125.6043683826
2023-03-25,554735.4832512296
2023-03-26,554861.4545155948
2023-03-27,555204.2693660853
2023-03-28,555251.9999074839
2023-03-29,555601.1906594665
2023-03-30,557005.096329266
2023-03-31,557602.7572654902
2023-04-01,558949.3273966224
2023-04-02,559386.5855974364
2023-04-03,559972.2422458662
2023-04-04,559878.946735742
2023-04-05,560733.0407733591
2023-04-06,560625.9278617809
2023-04-07,561067.6876981928
2023-04-08,561724.1717876794
2023-04-09,561689.2285530536
2023-04-10,560679.3107405761
2023-04-11,561368.5411880605
2023-04-12,561395.558115172
2023-04-13,557041.9564602859
2023-04-14,558141.0913968872
2023-04-15,559045.9998440986
2023-04-16,559492.9386991038
